# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=S1-T100000-s1-route1 profile=S1 ticks=100000 seed=1 route=1
# argv=--profile S1 --ticks 100000 --seed 1 --route 1 --out bench/results/solo --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=MenuOnly
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,144212,164138,216569,138646,144563,27048
2,101,144212,162920,215430,138646,144563,27048
3,102,144212,162117,213750,138646,144563,27052
5,104,143796,160959,213750,138646,144288,27056
7,106,143478,159826,210157,138646,144180,27056
10,109,143274,157953,194497,138646,144010,27056
20,119,142766,152173,161904,138595,143574,27056
30,129,142912,152421,162992,138595,143574,32368
50,149,142745,149040,161904,138595,143034,32372
70,169,141922,146477,156091,138595,142506,32376
100,199,141606,144975,156091,138324,142074,32380
200,299,141336,145860,155956,138132,141772,32384
300,399,141301,143299,150562,138333,141636,32388
500,599,140462,144296,154628,134718,140921,32392
700,799,142928,146918,156615,138110,143267,32396
1000,1099,142316,146604,167286,131110,141922,32400
2000,2099,141900,145317,157139,134935,142172,32404
3000,3099,142872,149746,164310,137939,143570,32404
5000,5099,141490,145371,161508,134842,142078,32404
7000,7099,135856,140469,158271,128249,136673,32520
10000,10099,140116,143002,151239,134225,140754,32520
20000,20099,134648,136788,144840,127390,134790,32520
30000,30099,127987,129603,137331,123074,128341,32520
50000,50099,139002,141305,150911,134030,139498,32520
70000,70099,142854,146635,155087,136305,143282,33144
99901,100000,138324,140998,151267,133848,139044,33144
# summary ticks_done=100000 ticks_requested=100000 total_wall_s=15.603 peak_rss_kb=33144
