==============================================================================
CELL INVENTORY
==============================================================================
P1-T100-s1-route1            models=9     done=100     wall_s=       0.0 peak_rss_kb=12400 pins=
P1-T100-s1-route2            models=9     done=100     wall_s=       0.0 peak_rss_kb= pins=100
P1-T100-s2-route1            models=9     done=100     wall_s=       0.0 peak_rss_kb=12388 pins=
P1-T100-s2-route2            models=9     done=100     wall_s=       0.0 peak_rss_kb= pins=100
P1-T100-s3-route1            models=9     done=100     wall_s=       0.0 peak_rss_kb=12396 pins=
P1-T100-s3-route2            models=9     done=100     wall_s=       0.0 peak_rss_kb= pins=100
P1-T1000-s1-route1           models=9     done=1000    wall_s=       0.5 peak_rss_kb=13580 pins=
P1-T1000-s1-route2           models=9     done=1000    wall_s=       0.6 peak_rss_kb= pins=1000
P1-T1000-s2-route1           models=9     done=1000    wall_s=       0.5 peak_rss_kb=13220 pins=
P1-T1000-s2-route2           models=9     done=1000    wall_s=       0.6 peak_rss_kb= pins=1000
P1-T1000-s3-route1           models=9     done=1000    wall_s=       0.5 peak_rss_kb=13384 pins=
P1-T1000-s3-route2           models=9     done=1000    wall_s=       0.6 peak_rss_kb= pins=1000
P1-T10000-s1-route1          models=9     done=10000   wall_s=     105.7 peak_rss_kb=22568 pins=
P1-T10000-s1-route2          models=9     done=10000   wall_s=     127.5 peak_rss_kb= pins=10000
P1-T10000-s2-route1          models=9     done=10000   wall_s=     106.1 peak_rss_kb=23788 pins=
P1-T10000-s2-route2          models=9     done=10000   wall_s=     127.6 peak_rss_kb= pins=10000
P1-T10000-s3-route1          models=9     done=10000   wall_s=     106.2 peak_rss_kb=22464 pins=
P1-T10000-s3-route2          models=9     done=10000   wall_s=     127.7 peak_rss_kb= pins=10000
P1-T100000-s1-route1         models=9     done=39532   wall_s=    4500.2 peak_rss_kb=66504 pins=  TRUNCATED at 39532 (wall budget 4500s exceeded (elapsed 4500.1s))
P1-T100000-s1-route2         models=9     done=33392   wall_s=    2700.2 peak_rss_kb= pins=33392  TRUNCATED at 33392 (wall budget 2700s exceeded (elapsed 2700.2s))
P1-T100000-s2-route1         models=9     done=39317   wall_s=    4500.2 peak_rss_kb=66256 pins=  TRUNCATED at 39317 (wall budget 4500s exceeded (elapsed 4500.2s))
P1-T100000-s3-route1         models=9     done=39614   wall_s=    4500.2 peak_rss_kb=66512 pins=  TRUNCATED at 39614 (wall budget 4500s exceeded (elapsed 4500.2s))
P2-T100-s1-route1            models=445   done=100     wall_s=       5.5 peak_rss_kb=13768 pins=
P2-T100-s1-route2            models=445   done=100     wall_s=       6.1 peak_rss_kb= pins=100
P2-T100-s2-route1            models=445   done=100     wall_s=       5.4 peak_rss_kb=13764 pins=
P2-T100-s2-route2            models=445   done=100     wall_s=       6.1 peak_rss_kb= pins=100
P2-T100-s3-route1            models=445   done=100     wall_s=       5.5 peak_rss_kb=13856 pins=
P2-T100-s3-route2            models=445   done=100     wall_s=       6.2 peak_rss_kb= pins=100
P2-T1000-s1-route1           models=445   done=1000    wall_s=     362.3 peak_rss_kb=17908 pins=
P2-T1000-s1-route2           models=445   done=1000    wall_s=     356.8 peak_rss_kb= pins=1000
P2-T1000-s2-route1           models=445   done=1000    wall_s=     365.2 peak_rss_kb=17976 pins=
P2-T1000-s2-route2           models=445   done=1000    wall_s=     355.6 peak_rss_kb= pins=1000
P2-T1000-s3-route1           models=445   done=1000    wall_s=     363.4 peak_rss_kb=18064 pins=
P2-T1000-s3-route2           models=445   done=1000    wall_s=     357.1 peak_rss_kb= pins=1000
P2-T10000-s1-route1          models=445   done=3437    wall_s=    7202.7 peak_rss_kb=41580 pins=  TRUNCATED at 3437 (wall budget 7200s exceeded (elapsed 7202.7s))
P2-T10000-s1-route2          models=445   done=2561    wall_s=    4501.0 peak_rss_kb= pins=2561  TRUNCATED at 2561 (wall budget 4500s exceeded (elapsed 4501.0s))
P2-T10000-s2-route1          models=445   done=3433    wall_s=    7202.4 peak_rss_kb=41352 pins=  TRUNCATED at 3433 (wall budget 7200s exceeded (elapsed 7202.4s))
P2-T10000-s3-route1          models=445   done=3432    wall_s=    7203.4 peak_rss_kb=41468 pins=  TRUNCATED at 3432 (wall budget 7200s exceeded (elapsed 7203.4s))
P2nw-T100-s1-route1          models=441   done=100     wall_s=       1.6 peak_rss_kb=13808 pins=
P2nw-T1000-s1-route1         models=441   done=1000    wall_s=      77.5 peak_rss_kb=17024 pins=
P2nw-T1000-s1-route2         models=441   done=1000    wall_s=      83.0 peak_rss_kb= pins=1000
P3-T100-s1-route1            models=130   done=100     wall_s=      75.1 peak_rss_kb=14868 pins=
P3-T100-s1-route2            models=130   done=100     wall_s=      85.6 peak_rss_kb= pins=100
P3-T100-s2-route1            models=130   done=100     wall_s=      74.8 peak_rss_kb=14808 pins=
P3-T100-s2-route2            models=130   done=100     wall_s=      85.9 peak_rss_kb= pins=100
P3-T100-s3-route1            models=130   done=100     wall_s=      75.1 peak_rss_kb=14940 pins=
P3-T100-s3-route2            models=130   done=100     wall_s=      85.6 peak_rss_kb= pins=100
P3-T1000-s1-route1           models=130   done=598     wall_s=    7211.9 peak_rss_kb=28596 pins=  TRUNCATED at 598 (wall budget 7200s exceeded (elapsed 7211.9s))
P3-T1000-s1-route2           models=130   done=397     wall_s=    2703.8 peak_rss_kb= pins=397  TRUNCATED at 397 (wall budget 2700s exceeded (elapsed 2703.8s))
P3-T1000-s2-route1           models=130   done=407     wall_s=    2704.4 peak_rss_kb=27228 pins=  TRUNCATED at 407 (wall budget 2700s exceeded (elapsed 2704.4s))
P3-T1000-s3-route1           models=130   done=407     wall_s=    2705.1 peak_rss_kb=26176 pins=  TRUNCATED at 407 (wall budget 2700s exceeded (elapsed 2705.1s))
P3wide-T100-s1-route2        models=420   done=100     wall_s=     593.8 peak_rss_kb= pins=100
S0-T10000-s1-route1          models=9     done=10000   wall_s=       0.1 peak_rss_kb=15156 pins=
S0-T100000-s1-route1         models=9     done=100000  wall_s=       1.3 peak_rss_kb=34148 pins=
S1-T10000-s1-route1          models=9     done=10000   wall_s=       1.9 peak_rss_kb=14768 pins=
S1-T100000-s1-route1         models=9     done=100000  wall_s=      15.4 peak_rss_kb=34128 pins=

==============================================================================
PROFILE P1
==============================================================================
-- P1-T100-s1-route1 (models=9, done=100, peak_rss_kb=12400)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2833     0.2822     0.3137          0.2810   22420
        2      101      0.2833     0.2823     0.3143          0.2810   22420
        3      102      0.2839     0.2831     0.3148          0.2811   22424
        5      104      0.2844     0.2841     0.3162          0.2818   22428
        7      106      0.2854     0.2854     0.3243          0.2824   22432
       10      109      0.2854     0.2860     0.3256          0.2824   22436
       20      119      0.2885     0.2942     0.3339          0.2882   22436
       30      129      0.2949     0.3014     0.3452          0.2942   22436
       50      149      0.3150     0.3151     0.3528          0.3130   22440
       70      169      0.3319     0.3294     0.3590          0.3305   22444
      100      199      0.3475     0.3508     0.3785          0.3469   22448
      200      299      0.3940     0.4166     0.5118          0.3942   22452
      300      399      0.4489     0.4588     0.5102          0.4476   22456
      500      599      0.5607     0.5656     0.6010          0.5604   22460
      700      799      0.7144     0.7249     0.7674          0.7128   22460
     1000     1099      1.0229     1.0299     1.1044          1.0196   22460
     2000     2099      2.3199     2.3294     2.4326          2.3113   22460
     3000     3099      4.2226     4.2388     4.4194          4.2060   22460
     5000     5099      9.5047     9.6124    10.0462          9.4848   22460
     7000     7099     15.5895    15.6020    16.0437         15.5404   22464
     9901    10000     25.8069    25.6367    26.4235         25.7230   22464
-- P1-T100000-s1-route1 (models=9, done=39532, peak_rss_kb=66504)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2719     0.2703     0.3039          0.2718   66180
        2      101      0.2719     0.2702     0.3039          0.2718   66224
        3      102      0.2719     0.2706     0.3049          0.2718   66236
        5      104      0.2719     0.2708     0.3080          0.2718   66248
        7      106      0.2719     0.2701     0.3039          0.2718   66260
       10      109      0.2719     0.2698     0.3026          0.2718   66272
       20      119      0.2774     0.2774     0.3049          0.2769   66284
       30      129      0.2837     0.2827     0.3109          0.2812   66296
       50      149      0.2916     0.2926     0.3190          0.2889   66308
       70      169      0.3027     0.3032     0.3296          0.3031   66320
      100      199      0.3210     0.3230     0.3542          0.3210   66332
      200      299      0.3901     0.4003     0.4372          0.3907   66344
      300      399      0.4407     0.4401     0.4787          0.4408   66356
      500      599      0.5790     0.5998     0.6957          0.5781   66368
      700      799      0.7122     0.7335     0.7847          0.7096   66380
     1000     1099      0.9969     0.9978     1.0524          0.9946   66392
     2000     2099      2.3949     2.3949     2.4820          2.3878   66404
     3000     3099      4.9747     5.0448     5.2985          4.9587   66416
     5000     5099     10.9440    11.2709    12.0576         10.9073   66428
     7000     7099     17.4875    17.5861    18.1081         17.4258   66440
    10000    10099     29.4329    29.5107    30.2585         29.3250   66452
    20000    20099     84.1010    85.6632    91.6537         83.7731   66468
    30000    30099    172.6370   187.7857   247.7013        171.6431   66480
    39433    39532    235.7296   246.5069   275.5960        234.7566      -1
-- P1-T100000-s2-route1 (models=9, done=39317, peak_rss_kb=66256)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.4654     0.4609     0.5021          0.4629   65944
        2      101      0.4654     0.4611     0.5031          0.4629   65988
        3      102      0.4654     0.4614     0.5031          0.4629   66000
        5      104      0.4659     0.4624     0.5072          0.4635   66012
        7      106      0.4659     0.4627     0.5072          0.4635   66024
       10      109      0.4624     0.4574     0.5072          0.4601   66036
       20      119      0.4612     0.4449     0.5044          0.4570   66048
       30      129      0.4600     0.4322     0.5031          0.4567   66060
       50      149      0.4521     0.4102     0.5031          0.4514   66072
       70      169      0.3398     0.3845     0.5024          0.3412   66084
      100      199      0.3315     0.3409     0.3665          0.3317   66096
      200      299      0.3767     0.4012     0.5630          0.3776   66108
      300      399      0.4328     0.4356     0.4706          0.4329   66120
      500      599      0.5616     0.5680     0.6131          0.5617   66132
      700      799      0.7104     0.7234     0.7777          0.7063   66144
     1000     1099      1.0303     1.0290     1.0897          1.0263   66156
     2000     2099      2.3894     2.3995     2.5123          2.3808   66168
     3000     3099      5.0138     5.0617     5.2173          4.9969   66180
     5000     5099     19.8509    19.8791    20.1602         19.7851   66192
     7000     7099     17.5678    17.8293    18.1810         17.5072   66204
    10000    10099     29.3335    29.4336    30.3174         29.2548   66204
    20000    20099     82.5957    82.8161    84.4498         82.3439   66220
    30000    30099    161.1089   169.9977   198.5435        160.3846   66232
    39218    39317    230.6824   252.5928   341.1380        229.8804      -1
-- P1-T100000-s3-route1 (models=9, done=39614, peak_rss_kb=66512)
   start      end   median_ms    mean_ms     p90_ms   median_cpu_ms  rss_kb
        1      100      0.2712     0.2708     0.3000          0.2690   66228
        2      101      0.2712     0.2709     0.3000          0.2690   66240
        3      102      0.2714     0.2716     0.3013          0.2697   66252
        5      104      0.2714     0.2718     0.3013          0.2697   66264
        7      106      0.2714     0.2718     0.3013          0.2697   66276
       10      109      0.2719     0.2720     0.3023          0.2708   66288
       20      119      0.2757     0.2793     0.3131          0.2763   66300
       30      129      0.2833     0.2854     0.3195          0.2820   66312
       50      149      0.2954     0.2961     0.3246          0.2970   66324
       70      169      0.3071     0.3073     0.3348          0.3062   66336
      100      199      0.3214     0.3274     0.3586          0.3231   66348
      200      299      0.3931     0.3994     0.4233          0.3943   66360
      300      399      0.4441     0.4469     0.4864          0.4441   66372
      500      599      0.5982     0.6311     0.7790          0.5993   66388
      700      799      0.7161     0.7254     0.7628          0.7134   66400
     1000     1099      1.0250     1.0243     1.0794          1.0247   66412
     2000     2099      2.4079     2.4035     2.5197          2.3934   66424
     3000     3099      5.0302     5.0585     5.2105          5.0205   66436
     5000     5099     11.2721    11.3566    11.8426         11.2228   66448
     7000     7099     17.6373    18.1846    18.5973         17.5819   66460
    10000    10099     29.4007    29.6943    30.4071         29.3155   66472
    20000    20099     83.5096    88.1560    92.1784         83.1961   66484
    30000    30099    258.4850   231.9171   297.1036        252.5589   66496
    39515    39614    235.5205   254.3762   284.6479        234.6335      -1

-- alpha fit (route 1): c(t) ~ t^alpha over the top two decades of the deepest cells (requested T=100000; depth reached per seed: {1: 39532, 2: 39317, 3: 39614})
   seed 1: alpha_raw = 1.463  (11 windows, t in [550, 39482])
   seed 2: alpha_raw = 1.457  (11 windows, t in [550, 39268])
   seed 3: alpha_raw = 1.490  (11 windows, t in [550, 39564])
   POOLED alpha_raw = 1.470   bootstrap-over-seeds 95% CI [1.457, 1.490] (seeds=[1, 2, 3], 2000 resamples)
   fit prediction at t=10000: 31.425 ms/tick
