# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T10000-s3-route1 profile=P2 ticks=10000 seed=3 route=1
# argv=--profile P2 --ticks 10000 --seed 3 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 7200
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 3432: wall budget 7200s exceeded (elapsed 7203.4s)
1,100,78469506,77054194,90287602,46730533,78228026,41268
2,101,78469506,77160109,90318859,46730533,78228026,41280
3,102,78751287,77622740,90474976,47046039,78496435,41288
5,104,79332814,78594294,91321338,50738780,79117714,41300
7,106,80043941,79470296,92159061,54506925,79786256,41312
10,109,81118398,80749413,93972542,61201242,80837291,41324
20,119,83509688,84315842,98414427,67488334,83258297,41336
30,129,87123272,87638086,99864213,71677691,86840303,41348
50,149,94104477,94648250,109809779,77698739,93722098,41360
70,169,100931890,101895603,116485538,83011284,100629594,41372
100,199,113069359,113349105,127747369,92993670,112661991,41384
200,299,158760272,159112313,181016339,133464027,158229942,41396
300,399,225017032,222383853,247662338,183671664,224286196,41408
500,599,351161557,353268617,382238575,313428586,350104685,41420
700,799,524370533,522969933,555277223,471909057,522468041,41432
1000,1099,819575234,817398390,862683232,750748477,817468894,41444
2000,2099,2265925775,2266174338,2424432664,2078733698,2257653648,41456
3000,3099,4215023064,4266371020,4474895204,3999963303,4200710748,41468
3333,3432,4820508274,4819879767,4908092246,4656449232,4804845675,-1
# summary ticks_done=3432 ticks_requested=10000 total_wall_s=7203.434 peak_rss_kb=41468
