# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T1000-s3-route1 profile=P1 ticks=1000 seed=3 route=1
# argv=--profile P1 --ticks 1000 --seed 3 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,262441,265344,297417,190751,262368,13132
2,101,262441,265335,297417,190751,262368,13132
3,102,262441,265685,298687,190751,262368,13132
5,104,262441,265816,298687,190751,262368,13132
7,106,262678,266580,299308,190751,262500,13132
10,109,262678,266413,297417,190751,262500,13136
20,119,267747,272342,299425,206123,267621,13140
30,129,272756,281960,310415,239742,272614,13144
50,149,282286,297806,333184,239742,283725,13148
70,169,298716,309725,337873,256214,299246,13152
100,199,313910,325332,354764,274238,314742,13156
200,299,331572,333447,355335,302702,331901,13160
300,399,388582,428329,617153,338804,388902,13364
500,599,482544,493737,523969,447868,482092,13368
700,799,623232,628009,663660,582001,617462,13368
901,1000,804652,832259,917975,740233,802420,13368
# summary ticks_done=1000 ticks_requested=1000 total_wall_s=0.531 peak_rss_kb=13384
