# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T10000-s3-route1 profile=P1 ticks=10000 seed=3 route=1
# argv=--profile P1 --ticks 10000 --seed 3 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,283294,282150,313716,199343,280968,22420
2,101,283294,282320,314309,199343,280968,22420
3,102,283879,283098,314775,199343,281118,22424
5,104,284398,284099,316233,199343,281848,22428
7,106,285380,285443,324314,199343,282424,22432
10,109,285380,286029,325621,199343,282424,22436
20,119,288530,294194,333946,215073,288184,22436
30,129,294910,301350,345184,240349,294221,22436
50,149,315001,315144,352799,263931,312966,22440
70,169,331912,329412,358984,280263,330464,22444
100,199,347540,350782,378496,293415,346945,22448
200,299,394008,416643,511784,349410,394234,22452
300,399,448944,458751,510184,391304,447550,22456
500,599,560729,565636,601045,502511,560440,22460
700,799,714412,724922,767376,644572,712822,22460
1000,1099,1022904,1029890,1104384,902264,1019580,22460
2000,2099,2319914,2329413,2432552,2138711,2311310,22460
3000,3099,4222556,4238760,4419407,3962438,4205966,22460
5000,5099,9504722,9612408,10046184,9287320,9484788,22460
7000,7099,15589505,15602036,16043696,14866175,15540410,22464
9901,10000,25806916,25636724,26423502,22843009,25722960,22464
# summary ticks_done=10000 ticks_requested=10000 total_wall_s=106.218 peak_rss_kb=22464
