# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P3-T1000-s2-route1 profile=P3 ticks=1000 seed=2 route=1
# argv=--profile P3 --ticks 1000 --seed 2 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 2700
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "obs_arity": 6, "codebooks": {"theta": [0.1, 0.3, 0.5, 0.7, 0.9], "rho": [0.3]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 130, "namespace_bits": 1.0}
# models=130
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 407: wall budget 2700s exceeded (elapsed 2704.4s)
1,100,910691938,1293140592,3554743347,175037427,906801382,27228
2,101,928160248,1345350650,3566887964,192785118,924416668,27228
3,102,940844174,1368928020,3566887964,205142469,935322992,27228
5,104,976856000,1433062240,3574643434,208978027,972412338,27228
7,106,991861948,1505347671,3675502973,208978027,988584452,27228
10,109,1012247810,1594897538,3685258975,208978027,1008825098,27228
20,119,1202220516,1831608860,3685258975,301307004,1198572856,27228
30,129,1419481108,2069810469,3685258975,429190353,1414157313,27228
50,149,2765216566,2564575772,3685258975,809864810,2751657677,27228
70,169,3344939624,3209109920,4161663427,1216887403,3069683280,27228
100,199,3807115982,3982591755,5488762484,2472183668,3745795902,27228
200,299,7640700266,7731149230,9503602598,5606641227,7618895548,27228
300,399,12709928572,12799728157,15102083519,9998541874,12666398328,27228
308,407,13094400066,13263415749,15659877289,10370155230,13056044430,-1
# summary ticks_done=407 ticks_requested=1000 total_wall_s=2704.427 peak_rss_kb=27228
