# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T1000-s2-route1 profile=P2 ticks=1000 seed=2 route=1
# argv=--profile P2 --ticks 1000 --seed 2 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,84372140,84062045,99245987,53124991,83963982,17976
2,101,84911382,84492823,99245987,54238873,84498899,17976
3,102,85247343,84926566,99245987,58166021,84832992,17976
5,104,85445706,85655021,99245987,63539015,85099360,17976
7,106,85716069,86008309,99245987,64949513,85310685,17976
10,109,86499714,87010431,100289206,64949513,86164711,17976
20,119,89990678,90143997,103216357,67336857,89545530,17976
30,129,93253964,93555416,105488157,71041728,92962278,17976
50,149,99411626,100948376,115328958,81035566,98991508,17976
70,169,104336639,105589130,121652164,86716705,103916466,17976
100,199,115500172,116034891,131718519,96076683,115050733,17976
200,299,160997677,161971624,184875138,133843384,160512981,17976
300,399,218949320,228597020,259129016,182613329,218247743,17976
500,599,375379786,384900964,431632685,332908403,374010318,17976
700,799,525125814,526628610,564042619,475359824,523695074,17976
901,1000,723491707,719495268,762258695,603699851,720478938,17976
# summary ticks_done=1000 ticks_requested=1000 total_wall_s=365.182 peak_rss_kb=17976
