# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T100000-s1-route1 profile=P1 ticks=100000 seed=1 route=1
# argv=--profile P1 --ticks 100000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 4500
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 39532: wall budget 4500s exceeded (elapsed 4500.1s)
1,100,271933,270269,303873,194986,271755,66180
2,101,271933,270225,303873,194986,271755,66224
3,102,271933,270559,304928,194986,271755,66236
5,104,271933,270788,308017,194986,271755,66248
7,106,271933,270057,303873,194986,271755,66260
10,109,271933,269797,302596,194986,271755,66272
20,119,277392,277412,304928,209597,276920,66284
30,129,283664,282719,310851,242589,281230,66296
50,149,291562,292626,319032,246336,288926,66308
70,169,302659,303170,329582,255763,303102,66320
100,199,321013,322979,354168,277462,320976,66332
200,299,390138,400255,437156,338334,390690,66344
300,399,440668,440086,478660,379071,440820,66356
500,599,578966,599769,695702,490338,578144,66368
700,799,712186,733540,784703,653185,709564,66380
1000,1099,996866,997784,1052405,913838,994618,66392
2000,2099,2394887,2394935,2482034,2218671,2387818,66404
3000,3099,4974710,5044771,5298480,4740945,4958722,66416
5000,5099,10944042,11270853,12057561,10628026,10907277,66428
7000,7099,17487498,17586102,18108119,16627719,17425846,66440
10000,10099,29432914,29510722,30258461,28202789,29325044,66452
20000,20099,84100972,85663245,91653716,79305327,83773128,66468
30000,30099,172636950,187785739,247701341,155769124,171643144,66480
39433,39532,235729575,246506873,275595953,225067579,234756575,-1
# summary ticks_done=39532 ticks_requested=100000 total_wall_s=4500.158 peak_rss_kb=66504
