# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T1000-s1-route1 profile=P1 ticks=1000 seed=1 route=1
# argv=--profile P1 --ticks 1000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,259292,259303,287642,190264,258470,13212
2,101,259292,259338,287642,190264,258470,13212
3,102,259292,259737,287642,190264,258470,13212
5,104,259292,259654,287028,190264,258470,13212
7,106,259292,259749,287996,190264,258470,13212
10,109,259292,259830,287291,190264,258470,13216
20,119,263606,269680,295937,198890,262094,13220
30,129,267492,274499,299478,227790,266780,13224
50,149,281437,291739,326095,240861,282058,13228
70,169,292906,303463,340365,253521,292040,13232
100,199,312460,321119,356994,274040,313154,13236
200,299,365829,369640,410319,324464,364000,13240
300,399,398912,401106,424020,370755,398586,13244
500,599,487351,487087,506758,449059,486128,13580
700,799,597590,596831,620215,564171,595451,13580
901,1000,747340,751239,783272,706402,745598,13580
# summary ticks_done=1000 ticks_requested=1000 total_wall_s=0.509 peak_rss_kb=13580
