# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T10000-s2-route1 profile=P2 ticks=10000 seed=2 route=1
# argv=--profile P2 --ticks 10000 --seed 2 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 7200
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 3433: wall budget 7200s exceeded (elapsed 7202.4s)
1,100,78236506,76473101,90818726,44168582,77976788,41148
2,101,78624812,76954580,91398064,44168582,78357080,41160
3,102,78994614,77454764,91553072,47191449,78712602,41172
5,104,79634499,78365572,91587682,49287120,79351183,41184
7,106,79857991,79266232,93516532,53586965,79593916,41196
10,109,80462497,80592461,94363109,59480762,80177926,41208
20,119,83538006,84278474,96931935,65290269,83267670,41220
30,129,86552620,87662849,101466847,70874853,86285527,41232
50,149,94419024,95057784,110115144,77708306,94084588,41244
70,169,101713593,103168440,117559009,82967918,101398238,41256
100,199,113658739,114804168,130160252,91534795,113022702,41268
200,299,158459869,158541322,179718078,133921368,157930679,41280
300,399,221642710,222659815,247931063,180300846,220903528,41292
500,599,352152739,352177830,380696006,311138893,351053086,41304
700,799,523294582,528473416,560822083,473614056,520608384,41316
1000,1099,819942394,817981912,863810871,755853236,817598733,41328
2000,2099,2245249788,2259305397,2421848442,2087819556,2237633869,41340
3000,3099,4206129458,4257028406,4459812791,3955195377,4191897230,41352
3334,3433,4810875628,4812429585,4901996415,4649917469,4796159750,-1
# summary ticks_done=3433 ticks_requested=10000 total_wall_s=7202.375 peak_rss_kb=41352
