# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T1000-s1-route1 profile=P2 ticks=1000 seed=1 route=1
# argv=--profile P2 --ticks 1000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,83903400,84761152,100004594,56535631,83511372,17908
2,101,83947482,85004796,100004594,56535631,83553402,17908
3,102,84437750,85416842,100004594,58137792,83982044,17908
5,104,85151868,86150358,100004594,65222640,84674086,17908
7,106,85347585,86491957,100036842,65222640,84941065,17908
10,109,86170162,87434031,100036842,65400050,85790052,17908
20,119,90949338,90826928,103157460,67448433,90535056,17908
30,129,92587556,93918083,106329876,71644444,92248117,17908
50,149,98961426,100837441,114896668,81823669,98506534,17908
70,169,104323126,106223028,120797795,88021087,103974272,17908
100,199,115485204,116344609,133747654,95639718,115018408,17908
200,299,162895301,163671573,183177678,136741347,162231967,17908
300,399,219896940,226159418,262453495,185493497,219108624,17908
500,599,380311626,391019537,428316842,335502256,379182560,17908
700,799,530154108,529756577,564989699,478874194,528037134,17908
901,1000,723682938,726437306,775427849,658303690,721413326,17908
# summary ticks_done=1000 ticks_requested=1000 total_wall_s=362.313 peak_rss_kb=17908
