# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T100000-s3-route1 profile=P1 ticks=100000 seed=3 route=1
# argv=--profile P1 --ticks 100000 --seed 3 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 4500
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 39614: wall budget 4500s exceeded (elapsed 4500.2s)
1,100,271162,270762,300038,190844,269048,66228
2,101,271162,270910,300038,190844,269048,66240
3,102,271440,271574,301346,190844,269735,66252
5,104,271440,271802,301346,190844,269735,66264
7,106,271440,271760,301346,190844,269735,66276
10,109,271864,272016,302321,190844,270845,66288
20,119,275676,279328,313080,205496,276326,66300
30,129,283304,285409,319494,238664,282026,66312
50,149,295442,296067,324615,248736,297023,66324
70,169,307126,307276,334821,265409,306244,66336
100,199,321376,327444,358566,283423,323116,66348
200,299,393097,399373,423316,348847,394276,66360
300,399,444070,446933,486353,391904,444143,66372
500,599,598230,631081,779007,489733,599340,66388
700,799,716118,725354,762803,640046,713374,66400
1000,1099,1024976,1024268,1079386,921862,1024725,66412
2000,2099,2407854,2403476,2519716,2209166,2393385,66424
3000,3099,5030228,5058513,5210486,4802529,5020466,66436
5000,5099,11272128,11356648,11842577,10781278,11222775,66448
7000,7099,17637312,18184605,18597300,16516717,17581854,66460
10000,10099,29400698,29694319,30407111,27992673,29315451,66472
20000,20099,83509594,88155951,92178390,79070511,83196107,66484
30000,30099,258485012,231917087,297103629,154405945,252558948,66496
39515,39614,235520512,254376243,284647934,223987224,234633538,-1
# summary ticks_done=39614 ticks_requested=100000 total_wall_s=4500.233 peak_rss_kb=66512
