# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=S1-T100000-s1-route1 profile=S1 ticks=100000 seed=1 route=1
# argv=--profile S1 --ticks 100000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=MenuOnly
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,267722,287194,363409,252364,266830,23680
2,101,267722,286088,357909,252364,266830,23680
3,102,267480,285161,357909,252364,266466,30692
5,104,267181,283285,354941,252364,265116,30696
7,106,266350,281174,345521,252364,264260,30696
10,109,266350,278917,292569,252364,264260,30696
20,119,262851,260109,278091,146363,263202,30700
30,129,261520,249148,277510,144396,262116,30704
50,149,258523,223415,274742,142947,259576,30708
70,169,172902,202722,271991,142947,172918,30712
100,199,158280,171721,243955,142947,159056,30716
200,299,170340,187112,252651,143485,168208,30720
300,399,162580,178096,233505,144873,160914,30724
500,599,153790,156465,168570,144841,151968,30728
700,799,154599,158421,172611,147112,154326,30732
1000,1099,156602,161833,175976,151590,156683,33824
2000,2099,162736,167328,180528,157026,163018,33828
3000,3099,174724,182570,209104,162029,174875,33828
5000,5099,166173,168404,176643,161691,166332,33828
7000,7099,158922,160894,168390,156193,159530,33828
10000,10099,144829,148223,157295,141958,145514,33828
20000,20099,126058,127527,132511,123070,125924,33952
30000,30099,129874,131516,138214,126372,130420,33952
50000,50099,133275,134349,138583,127286,133422,33952
70000,70099,139816,146636,154029,125691,140476,34128
99901,100000,125941,127063,131455,123194,126294,34128
# summary ticks_done=100000 ticks_requested=100000 total_wall_s=15.365 peak_rss_kb=34128
