# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P2-T1000-s3-route2 profile=P2 ticks=1000 seed=3 route=2
# argv=--profile P2 --ticks 1000 --seed 3 --route 2 --out bench/results
# hello={"membrane": 1, "world": {"namespace": ["s", "c", "act"], "guards": [{"name": "s", "grid": [0.5]}, {"name": "c", "grid": [0.25, 0.5, 0.75]}, {"name": "act", "grid": [0.5, 1.5]}], "menu": [{"name": "act", "grid": [0, 1, 2]}], "codebooks": {"theta": [6.25e-2, 0.1875, 0.3125, 0.4375, 0.5, 0.5625, 0.6875, 0.8125, 0.9375], "rho": [6.25e-2, 0.125, 0.25, 0.5]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 445, "namespace_bits": 1.5849625007211563}
# models=445
# route2 columns: tick,meta_bits_total,meta_bits_max,meta_n,latent_bits_total,latent_n,marginal_bits(num+den)
# mirror population=445
0,7139,17,445,180,36,0
1,9053,24,445,378,36,3
2,11151,39,445,888,36,36
3,13270,41,445,1398,36,48
5,17644,76,445,2316,36,86
7,22553,109,445,3289,36,112
10,29838,170,445,4719,36,175
20,56043,342,445,9589,36,342
30,82157,519,445,14251,36,499
50,135928,857,445,23543,36,815
70,189798,1195,445,32983,36,1127
100,270767,1707,445,46928,36,1616
101,273455,1717,445,47411,36,1625
102,276166,1740,445,47868,36,1648
104,281548,1774,445,48837,36,1679
106,286949,1806,445,49645,36,1713
109,295017,1845,445,51009,36,1750
119,322046,2026,445,56201,36,1921
129,349076,2198,445,60895,36,2085
149,403041,2535,445,70239,36,2415
169,457014,2876,445,79613,36,2737
199,538059,3393,445,93910,36,3222
200,540736,3411,445,94282,36,3245
299,807989,5090,445,140576,36,4853
300,810694,5109,445,141024,36,4877
399,1077938,6789,445,187196,36,6485
500,1350622,8516,445,234652,36,8142
599,1617819,10177,445,280662,36,9750
700,1890548,11914,445,327933,36,11413
799,2157767,13586,445,373930,36,12995
901,2433140,15326,445,421902,36,14657
1000,2700423,17015,445,468096,36,16264
# summary ticks_done=1000 ticks_requested=1000 pins_checked=1000 total_wall_s=357.066
