# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T10000-s1-route1 profile=P1 ticks=10000 seed=1 route=1
# argv=--profile P1 --ticks 10000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
1,100,277763,277625,301944,199012,277022,22520
2,101,277763,277517,300248,199012,277022,22520
3,102,278346,278299,301986,199012,277040,22524
5,104,279660,278734,305403,199012,277718,22528
7,106,280760,279311,311044,199012,278378,22532
10,109,280760,279119,311044,199012,278378,22536
20,119,282936,286416,318129,213707,283350,22536
30,129,289488,291874,322003,240634,287554,22536
50,149,297368,303182,335793,251753,299922,22540
70,169,312096,315198,347999,272989,313017,22544
100,199,334884,334243,366051,283427,332108,22548
200,299,390143,395423,432308,325516,386948,22552
300,399,437616,452599,486622,393730,437846,22556
500,599,559081,561511,599601,503028,560215,22560
700,799,707952,712254,749341,639181,706990,22560
1000,1099,1000512,1015154,1079015,916549,997703,22560
2000,2099,2315276,2319655,2426845,2114320,2307618,22560
3000,3099,4180220,4241627,4429883,3877590,4169484,22560
5000,5099,9433752,9525482,9786575,9203129,9402962,22564
7000,7099,15504648,15486560,15898188,14621619,15464186,22568
9901,10000,25617018,25685880,26410786,24579323,25542730,22568
# summary ticks_done=10000 ticks_requested=10000 total_wall_s=105.724 peak_rss_kb=22568
