# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P3-T1000-s1-route1 profile=P3 ticks=1000 seed=1 route=1
# argv=--profile P3 --ticks 1000 --seed 1 --route 1 --out bench/results --raw /home/g/.cache/proplang-bench/raw --budget-s 7200
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "obs_arity": 6, "codebooks": {"theta": [0.1, 0.3, 0.5, 0.7, 0.9], "rho": [0.3]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 130, "namespace_bits": 1.0}
# models=130
# route1 columns: window_start,window_end,median_wall_ns,mean_wall_ns,p90_wall_ns,min_wall_ns,median_cpu_ns,vmrss_kb_at_end
# TRUNCATED at tick 598: wall budget 7200s exceeded (elapsed 7211.9s)
1,100,782529207,877880424,1775378505,79317080,780199530,28308
2,101,808787522,897136602,1788984605,88819066,806162172,28308
3,102,820833604,916374266,1821722172,95787263,818530354,28308
5,104,859564124,955882487,1839704206,122857792,856872696,28308
7,106,896308584,995405471,1871560635,146048319,893800472,28308
10,109,958050638,1055756766,1925955252,178589537,955279953,28308
20,119,1184839744,1271479326,2207058785,298808188,1180838162,28308
30,129,1477254014,1505630280,2496148009,429547648,1473016718,28308
50,149,1944538614,2027267148,3192181522,765485673,1938654068,28308
70,169,2514951733,2614297589,3862840379,1187204330,2507060512,28320
100,199,3580299608,3602490798,5099265247,1963121976,3569356088,28320
200,299,7567449726,7897861104,10122891507,5478878545,7545160834,28332
300,399,12438656345,14019919454,24296337777,10150054248,12400439174,28344
499,598,25581442202,25325010692,27528067511,21716448890,25466844918,-1
# summary ticks_done=598 ticks_requested=1000 total_wall_s=7211.865 peak_rss_kb=28596
